"macroarea","traffic_class","effcap"
"EMEA","EventDwnld","27653.619140625"
"EMEA","GOther","24843.638671875"
"EMEA","iTunes_Basic","42321.546875"
"EMEA","iTunes_Videos","37243.8671875"
"EMEA","FB_Photos","4476.7475585938"
"EMEA","CacheH_Low","21845.951171875"
"EMEA","AllOther","7052.7231445312"
"EMEA","AkamaiHD","25716.55859375"
"EMEA","HighPerf","16740.78125"
"EMEA","OtherBigFoot","15640.583984375"
"EMEA","Amazon_Videos","35331.1015625"
"EMEA","Events_Live","42588.0703125"
"EMEA","Carrier","36949.296875"
"EMEA","CacheH_1","30355.552734375"
"EMEA","Disney_Videos","22493.810546875"
"EMEA","API_freeflow","1760.3775634766"
"APAC","EventDwnld","27265.52734375"
"APAC","GOther","21008.517578125"
"APAC","iTunes_Basic","38372"
"APAC","iTunes_Videos","28932.6328125"
"APAC","FB_Photos","5769.6240234375"
"APAC","CacheH_Low","16821.63671875"
"APAC","AllOther","2446.5327148438"
"APAC","AkamaiHD","28922.078125"
"APAC","HighPerf","14976.317382812"
"APAC","OtherBigFoot","35492.5"
"APAC","Amazon_Videos","44897.41015625"
"APAC","Events_Live","29556.76171875"
"APAC","Carrier","46818.4375"
"APAC","CacheH_1","29688.142578125"
"APAC","Disney_Videos","22173.75"
"APAC","API_freeflow","1577.1602783203"
"NA","EventDwnld","34216.66015625"
"NA","GOther","27152.603515625"
"NA","iTunes_Basic","35545.02734375"
"NA","iTunes_Videos","32006.953125"
"NA","FB_Photos","10006.659179688"
"NA","CacheH_Low","17655.576171875"
"NA","AllOther","5077.263671875"
"NA","AkamaiHD","25381.826171875"
"NA","HighPerf","9215.70703125"
"NA","OtherBigFoot","18144.935546875"
"NA","Amazon_Videos","36393.8515625"
"NA","Events_Live","40499.62109375"
"NA","Carrier","57566.37890625"
"NA","CacheH_1","32930.0859375"
"NA","Disney_Videos","27961.9453125"
"NA","API_freeflow","2199.9990234375"
"LA","EventDwnld","25849.97265625"
"LA","GOther","15370.346679688"
"LA","iTunes_Basic","35545.02734375"
"LA","iTunes_Videos","32692.919921875"
"LA","FB_Photos","6030.2783203125"
"LA","CacheH_Low","21844.6796875"
"LA","AllOther","2628.6237792969"
"LA","AkamaiHD","17790.19140625"
"LA","HighPerf","16134.579101562"
"LA","OtherBigFoot","17262.548828125"
"LA","Amazon_Videos","24057.03515625"
"LA","Events_Live","26151.6953125"
"LA","Carrier","74454.5625"
"LA","CacheH_1","25205.65625"
"LA","Disney_Videos","22417.25"
"LA","API_freeflow","1636.9338378906"
