disk_tb,hitrate_pct,p50_ms,p95_ms
0.0,0.0000,150.8100,266.8800
1.0,3.7200,146.8000,264.0200
2.0,15.4000,134.2700,254.3900
3.0,22.0036,127.3700,248.3700
4.0,26.6000,123.0500,243.9300
5.0,30.1696,119.8500,240.3900
6.0,32.9837,117.3100,237.5500
7.0,35.4302,115.0500,235.0600
8.0,37.5103,113.0600,232.9400
9.0,39.3243,111.2900,231.0900
10.0,40.7833,109.8500,229.6000
11.0,42.2143,108.4600,228.1300
12.0,43.4738,107.2800,226.8300
13.0,44.2857,106.5500,225.9900
14.0,45.5604,105.4300,224.6800
15.0,46.5586,104.5900,223.6400
16.0,47.4309,103.8600,222.7300
17.0,48.2710,103.1500,221.8500
18.0,49.0568,102.4900,221.0200
19.0,49.7973,101.8600,220.2400
20.0,50.4714,101.2800,219.5200
21.0,51.1268,100.7200,218.8200
22.0,51.7750,100.1600,218.1200
23.0,52.3978,99.6100,217.4500
24.0,52.9116,99.1500,216.8900
25.0,53.4698,98.6200,216.2900
26.0,53.9260,98.1700,215.7900
27.0,54.4500,97.6100,215.2100
28.0,54.9744,97.0400,214.6300
29.0,55.4245,96.4900,214.1300
30.0,55.7976,96.0200,213.7200
31.0,56.2615,95.3800,213.2100
32.0,56.6542,94.8000,212.7700
33.0,56.9485,94.3300,212.4400
34.0,57.3134,93.7200,212.0200
35.0,57.8028,92.8100,211.4800
36.0,58.0950,92.2100,211.1400
37.0,58.0999,92.2000,211.1400
38.0,58.8018,90.4700,210.3400
39.0,59.0182,89.8300,210.0900
40.0,59.3233,88.8300,209.7500
41.0,59.6267,87.7800,209.4000
42.0,59.9193,86.7200,209.0600
43.0,60.0929,86.0800,208.8700
44.0,60.3634,85.0200,208.5600
45.0,60.4969,84.4800,208.4000
46.0,61.1842,81.6400,207.6100
47.0,61.4355,80.5700,207.3200
48.0,61.4988,80.2900,207.2500
49.0,61.8904,78.3300,206.7900
50.0,62.3360,75.9900,206.2700
51.0,62.5070,75.1300,206.0700
52.0,62.6111,74.6700,205.9500
53.0,63.1956,72.1400,205.2700
54.0,63.1992,72.1300,205.2600
55.0,63.5255,70.6800,204.8800
56.0,63.8761,69.1500,204.4700
57.0,63.8966,69.0600,204.4400
58.0,64.4111,66.8300,203.8400
59.0,64.4984,66.4500,203.7300
60.0,64.7186,65.5100,203.4700
61.0,64.9606,64.5000,203.1800
62.0,65.1973,63.5500,202.9000
63.0,65.1989,63.5400,202.9000
64.0,65.3487,62.9500,202.7200
65.0,65.5727,62.0700,202.4500
66.0,65.7927,61.2200,202.1900
67.0,65.8901,60.8500,202.0700
68.0,66.1959,59.7400,201.7000
69.0,66.4023,59.0200,201.4500
70.0,66.4985,58.6900,201.3400
71.0,66.4998,58.6800,201.3400
72.0,66.8673,57.4400,200.8900
73.0,66.8990,57.3300,200.8500
74.0,67.1766,56.4200,200.5100
75.0,67.1876,56.3800,200.4900
76.0,67.1988,56.3500,200.4800
77.0,67.4933,55.4100,200.1200
78.0,67.6013,55.0800,199.9800
79.0,67.7303,54.7000,199.8200
80.0,67.7989,54.5000,199.7400
81.0,67.7994,54.5000,199.7400
82.0,67.7999,54.4900,199.7400
83.0,67.9791,53.9800,199.5100
84.0,68.0161,53.8700,199.4700
85.0,68.0531,53.7700,199.4200
86.0,68.0898,53.6600,199.3800
87.0,68.4967,52.5200,198.8600
88.0,68.4978,52.5100,198.8600
89.0,68.4990,52.5100,198.8600
90.0,68.7103,51.9300,198.6000
91.0,68.8120,51.6500,198.4700
92.0,68.9182,51.3600,198.3300
93.0,69.0255,51.0700,198.1900
94.0,69.0995,50.8800,198.1000
95.0,69.1994,50.6200,197.9700
96.0,69.2772,50.4200,197.8700
97.0,69.3621,50.2000,197.7600
98.0,69.4462,49.9800,197.6600
99.0,69.4997,49.8500,197.5900
100.0,69.6272,49.5400,197.4200
101.0,69.6985,49.3700,197.3300
102.0,69.7706,49.1900,197.2300
103.0,69.8426,49.0200,197.1400
104.0,69.8995,48.8800,197.0700
105.0,70.0201,48.6000,196.9100
106.0,70.0882,48.4300,196.8200
107.0,70.1556,48.2700,196.7300
108.0,70.2236,48.1100,196.6400
109.0,70.2917,47.9500,196.5500
110.0,70.3915,47.7200,196.4200
111.0,70.3983,47.7000,196.4100
112.0,70.3987,47.7000,196.4100
113.0,70.3991,47.7000,196.4100
114.0,70.3995,47.7000,196.4100
115.0,70.3999,47.7000,196.4100
116.0,70.8264,46.7000,195.8400
117.0,70.8865,46.5600,195.7600
118.0,70.9460,46.4200,195.6800
119.0,71.0061,46.2800,195.6000
120.0,71.0663,46.1400,195.5200
121.0,71.0997,46.0700,195.4700
122.0,71.2360,45.7600,195.2900
123.0,71.2948,45.6300,195.2100
124.0,71.3530,45.5000,195.1300
125.0,71.4118,45.3800,195.0500
126.0,71.4706,45.2500,194.9600
127.0,71.5979,44.9700,194.7900
128.0,71.6088,44.9500,194.7800
129.0,71.6630,44.8400,194.7000
130.0,71.7166,44.7300,194.6300
131.0,71.7707,44.6200,194.5500
132.0,71.8249,44.5100,194.4800
133.0,71.8785,44.4000,194.4100
134.0,71.9978,44.1600,194.2400
135.0,71.9981,44.1600,194.2400
136.0,71.9985,44.1600,194.2400
137.0,71.9988,44.1600,194.2400
138.0,71.9992,44.1600,194.2400
139.0,71.9995,44.1600,194.2400
140.0,71.9999,44.1600,194.2400
141.0,72.5958,42.9700,193.4000
142.0,72.5968,42.9700,193.4000
143.0,72.5979,42.9700,193.4000
144.0,72.5989,42.9700,193.4000
145.0,72.5999,42.9700,193.4000
146.0,72.9904,42.2000,192.8400
147.0,73.0222,42.1400,192.7900
148.0,73.0739,42.0400,192.7200
149.0,73.1257,41.9400,192.6400
150.0,73.1769,41.8400,192.5700
151.0,73.2287,41.7400,192.5000
152.0,73.2805,41.6400,192.4200
153.0,73.2995,41.6000,192.3900
154.0,73.2996,41.6000,192.3900
155.0,73.2997,41.6000,192.3900
156.0,73.2997,41.6000,192.3900
157.0,73.2998,41.6000,192.3900
158.0,73.2999,41.6000,192.3900
159.0,73.3000,41.6000,192.3900
160.0,73.5111,41.2000,192.0800
161.0,73.5329,41.1600,192.0500
162.0,73.5544,41.1200,192.0200
163.0,73.5762,41.0700,191.9900
164.0,73.5980,41.0300,191.9600
165.0,73.6910,40.8600,191.8200
166.0,73.7579,40.7500,191.7200
167.0,73.8297,40.6200,191.6200
168.0,73.9182,40.4600,191.4900
169.0,74.0952,40.1500,191.2200
170.0,74.4602,39.5600,190.6800
171.0,74.5532,39.4100,190.5400
172.0,74.7305,39.1400,190.2700
173.0,74.7954,39.0400,190.1700
174.0,74.8289,38.9900,190.1200
175.0,74.8605,38.9400,190.0700
176.0,74.8916,38.8900,190.0200
177.0,74.8998,38.8800,190.0100
178.0,74.9000,38.8800,190.0100
179.0,74.9916,38.7400,189.8700
180.0,74.9941,38.7300,189.8700
181.0,74.9965,38.7300,189.8700
182.0,74.9990,38.7300,189.8600
183.0,75.1858,38.4400,189.5800
184.0,75.1912,38.4300,189.5700
185.0,75.1965,38.4200,189.5600
186.0,75.2116,38.4000,189.5400
187.0,75.2460,38.3500,189.4900
188.0,75.2801,38.3000,189.4400
189.0,75.3146,38.2500,189.3800
190.0,75.3490,38.1900,189.3300
191.0,75.3831,38.1400,189.2800
192.0,75.3997,38.1200,189.2500
193.0,75.3998,38.1200,189.2500
194.0,75.3999,38.1200,189.2500
195.0,75.4000,38.1200,189.2500
196.0,75.6795,37.7000,188.8200
197.0,75.6912,37.6800,188.8000
198.0,75.7962,37.5200,188.6400
199.0,75.8124,37.5000,188.6200
200.0,75.8524,37.4400,188.5600
201.0,75.8928,37.3800,188.4900
202.0,75.9332,37.3200,188.4300
203.0,75.9732,37.2600,188.3700
204.0,75.9996,37.2200,188.3200
205.0,75.9996,37.2200,188.3200
206.0,75.9997,37.2200,188.3200
207.0,75.9997,37.2200,188.3200
208.0,75.9997,37.2200,188.3200
209.0,75.9998,37.2200,188.3200
210.0,75.9998,37.2200,188.3200
211.0,75.9998,37.2200,188.3200
212.0,75.9999,37.2200,188.3200
213.0,75.9999,37.2200,188.3200
214.0,75.9999,37.2200,188.3200
215.0,76.0000,37.2200,188.3200
216.0,76.2762,36.8200,187.8900
217.0,76.2970,36.7900,187.8600
218.0,76.3971,36.6400,187.7000
219.0,76.3974,36.6400,187.7000
220.0,76.3977,36.6400,187.7000
221.0,76.3981,36.6400,187.7000
222.0,76.3984,36.6400,187.7000
223.0,76.3987,36.6400,187.7000
224.0,76.3991,36.6400,187.6900
225.0,76.3994,36.6400,187.6900
226.0,76.3997,36.6400,187.6900
227.0,76.5893,36.3700,187.3900
228.0,76.5993,36.3500,187.3800
229.0,76.6816,36.2300,187.2400
230.0,76.6834,36.2300,187.2400
231.0,76.6852,36.2300,187.2400
232.0,76.6870,36.2300,187.2300
233.0,76.6888,36.2200,187.2300
234.0,76.6906,36.2200,187.2300
235.0,76.6924,36.2200,187.2300
236.0,76.6942,36.2200,187.2200
237.0,76.6960,36.2100,187.2200
238.0,76.6978,36.2100,187.2200
239.0,76.6996,36.2100,187.2100
240.0,76.7143,36.1900,187.1900
241.0,76.7330,36.1600,187.1600
242.0,76.7518,36.1300,187.1300
243.0,76.7703,36.1100,187.1000
244.0,76.7890,36.0800,187.0700
245.0,76.8077,36.0500,187.0400
246.0,76.8263,36.0300,187.0100
247.0,76.8450,36.0000,186.9800
248.0,76.8637,35.9700,186.9500
249.0,76.8822,35.9500,186.9200
250.0,76.9093,35.9100,186.8800
251.0,76.9987,35.8000,186.7300
252.0,76.9998,35.7900,186.7300
253.0,77.1395,35.6100,186.5000
254.0,77.1468,35.6000,186.4900
255.0,77.1540,35.5900,186.4800
256.0,77.1614,35.5800,186.4700
257.0,77.1687,35.5700,186.4500
258.0,77.1759,35.5600,186.4400
259.0,77.1833,35.5500,186.4300
260.0,77.1906,35.5400,186.4200
261.0,77.1978,35.5300,186.4100
262.0,77.3576,35.3300,186.1400
263.0,77.3688,35.3100,186.1300
264.0,77.3799,35.3000,186.1100
265.0,77.3911,35.2800,186.0900
266.0,77.5606,35.0600,185.8100
267.0,77.7005,34.8900,185.5800
268.0,77.7452,34.8400,185.5100
269.0,77.7900,34.7900,185.4300
270.0,77.8342,34.7400,185.3600
271.0,77.8790,34.6900,185.2900
272.0,77.9905,34.5600,185.1000
273.0,77.9915,34.5600,185.1000
