disk_tb,hitrate_pct,p50_ms,p95_ms
0.0,0.0000,142.0500,246.0500
1.0,3.7200,140.1500,243.7200
2.0,15.4000,133.9300,236.2000
3.0,22.0036,130.1800,231.8000
4.0,26.6000,127.4400,228.6300
5.0,30.1696,125.2100,226.0900
6.0,32.9837,123.3800,224.0400
7.0,35.4302,121.7300,222.2300
8.0,37.5103,120.2600,220.6600
9.0,39.3243,118.9300,219.2700
10.0,40.7833,117.8200,218.1400
11.0,42.2143,116.6900,217.0100
12.0,43.4738,115.6500,216.0100
13.0,44.2857,114.9600,215.3700
14.0,45.5604,113.8300,214.3400
15.0,46.5586,112.9000,213.5200
16.0,47.4309,112.0400,212.8100
17.0,48.2710,111.1700,212.1100
18.0,49.0568,110.3100,211.4500
19.0,49.7973,109.4700,210.8300
20.0,50.4714,108.6600,210.2600
21.0,51.1268,107.8200,209.7000
22.0,51.7750,106.9300,209.1400
23.0,52.3978,106.0200,208.6100
24.0,52.9116,105.2000,208.1600
25.0,53.4698,104.2600,207.6700
26.0,53.9260,103.4300,207.2700
27.0,54.4500,102.3900,206.8000
28.0,54.9744,101.2500,206.3400
29.0,55.4245,100.1500,205.9300
30.0,55.7976,99.1500,205.5900
31.0,56.2615,97.8100,205.1700
32.0,56.6542,96.5900,204.8100
33.0,56.9485,95.6200,204.5400
34.0,57.3134,94.3500,204.2000
35.0,57.8028,92.6200,203.7400
36.0,58.0950,91.5700,203.4700
37.0,58.0999,91.5500,203.4700
38.0,58.8018,89.0200,202.8000
39.0,59.0182,88.2300,202.6000
40.0,59.3233,87.0900,202.3000
41.0,59.6267,85.9400,202.0100
42.0,59.9193,84.8400,201.7300
43.0,60.0929,84.2100,201.5600
44.0,60.3634,83.2200,201.2900
45.0,60.4969,82.7400,201.1600
46.0,61.1842,80.1900,200.4900
47.0,61.4355,78.9500,200.2400
48.0,61.4988,78.6300,200.1700
49.0,61.8904,76.7100,199.7800
50.0,62.3360,74.8900,199.3300
51.0,62.5070,74.4200,199.1600
52.0,62.6111,74.1400,199.0500
53.0,63.1956,72.5700,198.4600
54.0,63.1992,72.5600,198.4600
55.0,63.5255,71.7100,198.1200
56.0,63.8761,70.8100,197.7600
57.0,63.8966,70.7600,197.7400
58.0,64.4111,69.5100,197.2000
59.0,64.4984,69.3000,197.1000
60.0,64.7186,68.8000,196.8700
61.0,64.9606,68.2500,196.6100
62.0,65.1973,67.7100,196.3600
63.0,65.1989,67.7100,196.3600
64.0,65.3487,67.3800,196.2000
65.0,65.5727,66.8900,195.9600
66.0,65.7927,66.4100,195.7200
67.0,65.8901,66.2000,195.6100
68.0,66.1959,65.5700,195.2800
69.0,66.4023,65.1400,195.0500
70.0,66.4985,64.9500,194.9500
71.0,66.4998,64.9500,194.9500
72.0,66.8673,64.2500,194.5400
73.0,66.8990,64.1900,194.5100
74.0,67.1766,63.6700,194.2000
75.0,67.1876,63.6500,194.1900
76.0,67.1988,63.6300,194.1700
77.0,67.4933,63.0800,193.8400
78.0,67.6013,62.8900,193.7200
79.0,67.7303,62.6500,193.5800
80.0,67.7989,62.5300,193.5000
81.0,67.7994,62.5300,193.5000
82.0,67.7999,62.5300,193.5000
83.0,67.9791,62.2100,193.3000
84.0,68.0161,62.1400,193.2500
85.0,68.0531,62.0800,193.2100
86.0,68.0898,62.0100,193.1700
87.0,68.4967,61.3000,192.7000
88.0,68.4978,61.3000,192.7000
89.0,68.4990,61.3000,192.7000
