iteration=1, total_cost=106236.99, total_perf_penalty=41972748.78, objective=42078985.76
iteration=2, total_cost=111955.36, total_perf_penalty=39199047.40, objective=39311002.76
iteration=3, total_cost=117394.49, total_perf_penalty=37122463.10, objective=37239857.59
iteration=4, total_cost=124056.18, total_perf_penalty=35748281.95, objective=35872338.14
iteration=5, total_cost=130200.24, total_perf_penalty=34925529.70, objective=35055729.94
iteration=6, total_cost=136838.35, total_perf_penalty=34216270.01, objective=34353108.35
iteration=7, total_cost=143679.22, total_perf_penalty=33759585.34, objective=33903264.56
iteration=8, total_cost=151086.59, total_perf_penalty=33057760.14, objective=33208846.73
iteration=9, total_cost=157846.59, total_perf_penalty=32791980.85, objective=32949827.44
iteration=10, total_cost=164780.69, total_perf_penalty=32510505.89, objective=32675286.58
iteration=11, total_cost=170812.24, total_perf_penalty=32355805.42, objective=32526617.66
iteration=12, total_cost=177053.97, total_perf_penalty=32221046.66, objective=32398100.64
iteration=13, total_cost=182978.73, total_perf_penalty=31875374.96, objective=32058353.69
iteration=14, total_cost=188052.55, total_perf_penalty=31797604.37, objective=31985656.92
iteration=15, total_cost=193955.42, total_perf_penalty=31721486.94, objective=31915442.35
iteration=16, total_cost=199693.91, total_perf_penalty=31594087.16, objective=31793781.07
iteration=17, total_cost=203655.70, total_perf_penalty=31576235.52, objective=31779891.22
iteration=18, total_cost=207623.19, total_perf_penalty=31540131.79, objective=31747754.98
iteration=19, total_cost=211811.31, total_perf_penalty=31385246.39, objective=31597057.70
iteration=20, total_cost=215124.07, total_perf_penalty=31349121.74, objective=31564245.81
iteration=21, total_cost=218525.64, total_perf_penalty=31315146.93, objective=31533672.57
iteration=22, total_cost=221015.25, total_perf_penalty=31178154.74, objective=31399169.99
iteration=23, total_cost=224016.29, total_perf_penalty=31178921.44, objective=31402937.72
iteration=24, total_cost=227441.96, total_perf_penalty=30965747.73, objective=31193189.69
iteration=25, total_cost=228758.77, total_perf_penalty=30977184.52, objective=31205943.29
iteration=26, total_cost=231682.39, total_perf_penalty=30889869.49, objective=31121551.88
iteration=27, total_cost=233909.14, total_perf_penalty=30893642.29, objective=31127551.43
iteration=28, total_cost=237214.29, total_perf_penalty=30852015.16, objective=31089229.45
iteration=29, total_cost=239959.83, total_perf_penalty=30813162.71, objective=31053122.54
iteration=30, total_cost=241911.34, total_perf_penalty=30818255.93, objective=31060167.28
iteration=31, total_cost=244038.46, total_perf_penalty=30763573.48, objective=31007611.94
iteration=32, total_cost=246248.50, total_perf_penalty=30745861.60, objective=30992110.10
iteration=33, total_cost=248191.36, total_perf_penalty=30751523.27, objective=30999714.63
iteration=34, total_cost=249361.18, total_perf_penalty=30744417.00, objective=30993778.18
