"﻿""asn_metro""","bw_metro","traffic_mbps"
"Austin","Dallas","28789"
"Austin","Houston","27195"
"Austin","San_Antonio","8"
"Dallas","Dallas","280125"
"Dallas","Houston","1234"
"Dallas","San_Antonio","64"
"Houston","Dallas","14673"
"Houston","Houston","116545"
"Houston","San_Antonio","134"
"Oklahoma_City","Dallas","101048"
"Oklahoma_City","Houston","728"
"Oklahoma_City","Oklahoma_City","631"
"Oklahoma_City","San_Antonio","2"
"San_Antonio","Dallas","60040"
"San_Antonio","Houston","28471"
"San_Antonio","San_Antonio","2922"
