iteration=1
ABQ, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=71211.32, p50=46.2370, p95=139.4310, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
ATL, disk_mb=102013760.00, hitrate=77.55, cost=4484.18, perf_penalty=9337.34, p50=28.7200, p95=117.1310, cost_gradient=41.5714, perf_gradient=-258.5724, overall_gradient=-217.0010
AUS, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=16440.21, p50=33.8730, p95=114.2360, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
BWI, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=19188.19, p50=34.8740, p95=115.1780, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
BOS, disk_mb=36416320.00, hitrate=61.85, cost=1352.08, perf_penalty=9998.61, p50=29.5640, p95=116.3800, cost_gradient=16.5912, perf_gradient=-662.5232, overall_gradient=-645.9320
BUF, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=50109.84, p50=42.2200, p95=131.3380, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
CLT, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=23714.08, p50=35.7140, p95=120.0990, cost_gradient=60.6562, perf_gradient=0.0000, overall_gradient=60.6562
ORD, disk_mb=65825600.00, hitrate=73.90, cost=3877.92, perf_penalty=8594.46, p50=28.8600, p95=115.3210, cost_gradient=13.3940, perf_gradient=-374.3761, overall_gradient=-360.9821
CVG, disk_mb=27917120.00, hitrate=61.08, cost=669.65, perf_penalty=26560.76, p50=37.1210, p95=118.2410, cost_gradient=5.2850, perf_gradient=-893.1072, overall_gradient=-887.8222
CLE, disk_mb=90411840.00, hitrate=81.81, cost=2295.59, perf_penalty=3651.78, p50=29.0430, p95=102.1250, cost_gradient=7.0231, perf_gradient=-240.7272, overall_gradient=-233.7041
CMH, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=36199.93, p50=39.5360, p95=122.7120, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
DFW, disk_mb=73638720.00, hitrate=74.49, cost=3757.83, perf_penalty=4727.31, p50=23.9890, p95=114.2590, cost_gradient=57.8639, perf_gradient=-122.6779, overall_gradient=-64.8140
DEN, disk_mb=30180160.00, hitrate=60.30, cost=1051.19, perf_penalty=15272.28, p50=32.1040, p95=118.9680, cost_gradient=20.9869, perf_gradient=-577.5317, overall_gradient=-556.5448
DET, disk_mb=96443200.00, hitrate=82.48, cost=1639.86, perf_penalty=19024.77, p50=34.1080, p95=118.3720, cost_gradient=16.7291, perf_gradient=-201.6464, overall_gradient=-184.9173
HNL, disk_mb=36139840.00, hitrate=62.42, cost=834.98, perf_penalty=256863.10, p50=69.1140, p95=193.4260, cost_gradient=5.4274, perf_gradient=-19744.5205, overall_gradient=-19739.0931
IAH, disk_mb=192744640.00, hitrate=90.40, cost=3816.43, perf_penalty=470.89, p50=25.1700, p95=104.3670, cost_gradient=19.9439, perf_gradient=-18.0752, overall_gradient=1.8687
IND, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=23613.95, p50=35.7730, p95=119.5980, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
MCI, disk_mb=34655040.00, hitrate=64.45, cost=824.56, perf_penalty=53279.84, p50=42.5380, p95=135.2130, cost_gradient=2.9599, perf_gradient=-800.7084, overall_gradient=-797.7485
LAS, disk_mb=47496000.00, hitrate=66.61, cost=1222.39, perf_penalty=26666.86, p50=33.9020, p95=134.5630, cost_gradient=0.1309, perf_gradient=-842.8188, overall_gradient=-842.6879
LAX, disk_mb=47496000.00, hitrate=66.61, cost=3060.04, perf_penalty=12022.17, p50=29.4480, p95=120.7290, cost_gradient=0.1323, perf_gradient=-731.6696, overall_gradient=-731.5373
SDF, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=56646.66, p50=43.9600, p95=130.4290, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
MEM, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=57934.51, p50=43.9540, p95=133.0550, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
MIA, disk_mb=47465280.00, hitrate=56.22, cost=2982.81, perf_penalty=10581.31, p50=28.2410, p95=120.6690, cost_gradient=44.8704, perf_gradient=-342.9328, overall_gradient=-298.0624
MKE, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=24866.08, p50=36.1970, p95=119.9000, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
MSP, disk_mb=118653760.00, hitrate=82.74, cost=3317.39, perf_penalty=4165.01, p50=28.6820, p95=106.8730, cost_gradient=-19.6877, perf_gradient=-484.2005, overall_gradient=-503.8882
MSY, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=35312.79, p50=38.1670, p95=129.6180, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
LGA, disk_mb=69757760.00, hitrate=75.01, cost=2995.52, perf_penalty=4919.23, p50=23.4270, p95=114.8020, cost_gradient=37.0703, perf_gradient=-281.8440, overall_gradient=-244.7737
ORL, disk_mb=0.00, hitrate=10.40, cost=0.00, perf_penalty=25888.25, p50=35.3500, p95=126.2720, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
PHL, disk_mb=140408000.00, hitrate=86.21, cost=3199.05, perf_penalty=176.09, p50=24.3270, p95=104.8050, cost_gradient=32.0876, perf_gradient=-8.7048, overall_gradient=23.3828
