iteration=1, total_cost=60826.16, total_perf_penalty=1708585.26, objective=1769411.41
iteration=2, total_cost=60976.10, total_perf_penalty=1630792.61, objective=1691768.72
iteration=3, total_cost=61514.03, total_perf_penalty=1577731.46, objective=1639245.48
iteration=4, total_cost=61826.36, total_perf_penalty=1497521.89, objective=1559348.24
iteration=5, total_cost=62490.21, total_perf_penalty=1448285.79, objective=1510776.00
iteration=6, total_cost=63065.47, total_perf_penalty=1385877.21, objective=1448942.69
iteration=7, total_cost=63633.33, total_perf_penalty=1322284.18, objective=1385917.50
iteration=8, total_cost=64474.10, total_perf_penalty=1278325.87, objective=1342799.97
iteration=9, total_cost=65397.34, total_perf_penalty=1241124.09, objective=1306521.42
iteration=10, total_cost=66034.79, total_perf_penalty=1193848.40, objective=1259883.19
iteration=11, total_cost=66874.52, total_perf_penalty=1167276.32, objective=1234150.84
iteration=12, total_cost=67589.30, total_perf_penalty=1132018.41, objective=1199607.72
iteration=13, total_cost=68546.33, total_perf_penalty=1114227.31, objective=1182773.64
iteration=14, total_cost=69361.64, total_perf_penalty=1084969.05, objective=1154330.69
iteration=15, total_cost=70138.11, total_perf_penalty=1069810.32, objective=1139948.44
iteration=16, total_cost=70914.65, total_perf_penalty=1043857.45, objective=1114772.10
iteration=17, total_cost=71768.56, total_perf_penalty=1034017.36, objective=1105785.92
iteration=18, total_cost=72571.59, total_perf_penalty=1008161.51, objective=1080733.09
iteration=19, total_cost=73360.76, total_perf_penalty=1001342.42, objective=1074703.17
iteration=20, total_cost=74155.83, total_perf_penalty=980748.35, objective=1054904.19
iteration=21, total_cost=74809.74, total_perf_penalty=976901.45, objective=1051711.19
iteration=22, total_cost=75630.10, total_perf_penalty=958455.20, objective=1034085.31
iteration=23, total_cost=76371.84, total_perf_penalty=957624.39, objective=1033996.22
iteration=24, total_cost=77179.90, total_perf_penalty=938517.65, objective=1015697.55
iteration=25, total_cost=77960.53, total_perf_penalty=939975.03, objective=1017935.56
iteration=26, total_cost=78564.97, total_perf_penalty=922566.41, objective=1001131.38
iteration=27, total_cost=79184.65, total_perf_penalty=925224.25, objective=1004408.89
iteration=28, total_cost=79825.77, total_perf_penalty=909540.85, objective=989366.62
iteration=29, total_cost=80226.73, total_perf_penalty=918008.92, objective=998235.65
iteration=30, total_cost=80847.98, total_perf_penalty=901425.18, objective=982273.16
iteration=31, total_cost=81224.59, total_perf_penalty=908467.31, objective=989691.89
iteration=32, total_cost=81525.53, total_perf_penalty=895603.70, objective=977129.23
iteration=33, total_cost=81745.39, total_perf_penalty=905088.42, objective=986833.82
iteration=34, total_cost=82050.85, total_perf_penalty=892577.61, objective=974628.47
iteration=35, total_cost=82106.94, total_perf_penalty=903202.22, objective=985309.15
iteration=36, total_cost=82420.52, total_perf_penalty=891143.17, objective=973563.68
iteration=37, total_cost=82477.11, total_perf_penalty=901969.47, objective=984446.58
iteration=38, total_cost=82782.08, total_perf_penalty=889254.49, objective=972036.57
iteration=39, total_cost=82766.47, total_perf_penalty=900082.34, objective=982848.81
iteration=40, total_cost=82997.23, total_perf_penalty=887383.41, objective=970380.64
iteration=41, total_cost=82982.78, total_perf_penalty=898425.81, objective=981408.59
iteration=42, total_cost=83144.76, total_perf_penalty=886370.65, objective=969515.41
iteration=43, total_cost=83119.38, total_perf_penalty=896805.72, objective=979925.10
iteration=44, total_cost=83281.85, total_perf_penalty=884835.09, objective=968116.94
iteration=45, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=46, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=47, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=48, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=49, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=50, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=51, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=52, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=53, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=54, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=55, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=56, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=57, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=58, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=59, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=60, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=61, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=62, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=63, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=64, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=65, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=66, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=67, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=68, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=69, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=70, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=71, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=72, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=73, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=74, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
iteration=75, total_cost=83264.24, total_perf_penalty=895731.85, objective=978996.10
iteration=76, total_cost=83354.08, total_perf_penalty=884212.44, objective=967566.52
