-----------------------------------------------------------------
 Iter   Total Cost ($/mo)    Wtd-avg P50 (ms)    Wtd-avg P95 (ms)
-----------------------------------------------------------------
    1            71441.52               30.85              118.25
    2            72798.38               30.52              117.71
    3            74113.80               30.19              116.93
    4            75223.56               29.94              116.32
    5            76650.58               29.76              115.86
    6            77655.71               29.66              115.57
    7            78560.18               29.49              115.07
    8            79250.60               29.31              114.54
    9            79755.33               29.26              114.37
   10            80516.73               29.25              114.29
   11            80564.34               29.16              114.03
   12            81138.28               29.13              113.95
   13            81052.46               29.12              113.92
   14            81589.28               29.15              113.97
   15            81528.90               29.10              113.85
   16            81729.68               29.14              113.98
   17            81783.27               29.07              113.77
   18            81887.97               29.09              113.81
   19            81850.79               29.11              113.86
   20            82249.51               29.06              113.71
   21            82249.89               28.99              113.46
   22            82159.15               29.03              113.62
   23            82343.65               29.04              113.57
   24            82246.28               29.02              113.59
   25            82296.15               28.98              113.43
   26            82265.24               29.03              113.58
   27            82585.51               29.00              113.44
   28            82528.02               28.98              113.42
   29            82420.74               28.98              113.44
   30            82722.49               28.99              113.42
   31            82868.20               28.97              113.29
   32            82541.28               28.97              113.39
   33            82666.85               28.95              113.30
   34            82690.75               29.01              113.49
   35            82684.18               28.95              113.29
   36            82683.71               28.97              113.35
   37            82594.19               29.00              113.45
   38            82762.54               28.96              113.33
   39            82705.14               28.95              113.29
   40            82933.54               28.96              113.32
   41            82832.99               28.98              113.35
   42            82828.06               28.96              113.31
   43            82641.31               28.95              113.31
   44            82918.77               28.97              113.34
   45            82899.50               28.97              113.30
   46            82689.29               28.95              113.30
   47            82702.17               28.95              113.31
   48            82777.83               28.96              113.31
   49            82677.30               28.99              113.40
-----------------------------------------------------------------
