iteration=1
ABQ, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=8758.39, p50=46.3090, p95=139.6200, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ATL, disk_mb=90384640.00, hitrate=75.60, cost=5371.23, perf_penalty=5556.05, p50=29.0700, p95=118.1330, cost_gradient=51.8126, perf_gradient=-202.5896, overall_gradient=-150.7770
AUS, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=3193.29, p50=34.1810, p95=115.4260, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BWI, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=3209.04, p50=35.4290, p95=116.3110, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BOS, disk_mb=37416320.00, hitrate=62.23, cost=1622.69, perf_penalty=2996.20, p50=29.5160, p95=116.3670, cost_gradient=24.9431, perf_gradient=-292.8744, overall_gradient=-267.9313
BUF, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=3432.84, p50=42.3480, p95=131.7110, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CLT, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=15602.19, p50=36.0290, p95=121.1720, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ORD, disk_mb=65825600.00, hitrate=73.90, cost=4646.73, perf_penalty=4682.77, p50=28.8600, p95=115.3210, cost_gradient=24.9378, perf_gradient=-267.9038, overall_gradient=-242.9660
CVG, disk_mb=24923520.00, hitrate=59.31, cost=732.27, perf_penalty=5892.48, p50=37.5520, p95=118.9250, cost_gradient=7.5754, perf_gradient=-274.7056, overall_gradient=-267.1302
CLE, disk_mb=71478400.00, hitrate=78.22, cost=2571.72, perf_penalty=961.61, p50=29.9120, p95=104.6730, cost_gradient=12.2237, perf_gradient=-74.0488, overall_gradient=-61.8251
CMH, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=9017.49, p50=40.0300, p95=123.7360, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
