iteration=1, total_cost=71441.52, total_perf_penalty=321244.12, objective=392685.64
iteration=2, total_cost=72798.40, total_perf_penalty=296122.99, objective=368921.39
iteration=3, total_cost=74113.82, total_perf_penalty=276540.99, objective=350654.81
iteration=4, total_cost=75223.56, total_perf_penalty=264270.43, objective=339493.99
iteration=5, total_cost=76650.60, total_perf_penalty=254344.14, objective=330994.74
iteration=6, total_cost=77655.74, total_perf_penalty=249203.25, objective=326858.99
iteration=7, total_cost=78560.21, total_perf_penalty=240278.70, objective=318838.91
iteration=8, total_cost=79250.63, total_perf_penalty=231193.37, objective=310444.01
iteration=9, total_cost=79755.35, total_perf_penalty=227863.83, objective=307619.18
iteration=10, total_cost=80516.74, total_perf_penalty=227198.68, objective=307715.42
iteration=11, total_cost=80564.34, total_perf_penalty=223568.29, objective=304132.63
iteration=12, total_cost=81138.27, total_perf_penalty=222392.71, objective=303530.99
iteration=13, total_cost=81052.47, total_perf_penalty=222165.61, objective=303218.08
iteration=14, total_cost=81589.30, total_perf_penalty=222304.04, objective=303893.34
iteration=15, total_cost=81528.91, total_perf_penalty=220826.41, objective=302355.32
iteration=16, total_cost=81729.67, total_perf_penalty=222110.53, objective=303840.20
iteration=17, total_cost=81783.28, total_perf_penalty=219923.93, objective=301707.21
iteration=18, total_cost=81887.98, total_perf_penalty=220360.11, objective=302248.09
iteration=19, total_cost=81850.79, total_perf_penalty=220655.24, objective=302506.03
iteration=20, total_cost=82249.52, total_perf_penalty=219252.64, objective=301502.16
iteration=21, total_cost=82249.91, total_perf_penalty=215707.14, objective=297957.05
iteration=22, total_cost=82159.16, total_perf_penalty=217416.27, objective=299575.44
iteration=23, total_cost=82343.66, total_perf_penalty=216916.15, objective=299259.80
iteration=24, total_cost=82246.29, total_perf_penalty=217026.36, objective=299272.65
iteration=25, total_cost=82296.14, total_perf_penalty=215066.47, objective=297362.61
iteration=26, total_cost=82265.27, total_perf_penalty=216793.12, objective=299058.39
iteration=27, total_cost=82585.51, total_perf_penalty=214890.62, objective=297476.13
iteration=28, total_cost=82528.02, total_perf_penalty=214839.60, objective=297367.61
iteration=29, total_cost=82420.75, total_perf_penalty=214888.87, objective=297309.62
iteration=30, total_cost=82722.51, total_perf_penalty=214660.40, objective=297382.91
iteration=31, total_cost=82868.20, total_perf_penalty=213129.78, objective=295997.97
iteration=32, total_cost=82541.29, total_perf_penalty=214280.65, objective=296821.95
iteration=33, total_cost=82666.85, total_perf_penalty=213129.37, objective=295796.22
iteration=34, total_cost=82690.76, total_perf_penalty=215318.54, objective=298009.31
iteration=35, total_cost=82684.17, total_perf_penalty=212955.38, objective=295639.55
iteration=36, total_cost=82683.74, total_perf_penalty=213776.55, objective=296460.29
iteration=37, total_cost=82594.18, total_perf_penalty=214726.57, objective=297320.75
iteration=38, total_cost=82762.56, total_perf_penalty=213683.52, objective=296446.08
iteration=39, total_cost=82705.15, total_perf_penalty=212983.19, objective=295688.35
iteration=40, total_cost=82933.55, total_perf_penalty=213510.63, objective=296444.18
iteration=41, total_cost=82832.99, total_perf_penalty=213617.01, objective=296449.99
iteration=42, total_cost=82828.08, total_perf_penalty=213490.71, objective=296318.80
iteration=43, total_cost=82641.31, total_perf_penalty=213147.30, objective=295788.61
iteration=44, total_cost=82918.79, total_perf_penalty=213807.55, objective=296726.34
iteration=45, total_cost=82899.50, total_perf_penalty=213003.89, objective=295903.39
iteration=46, total_cost=82689.29, total_perf_penalty=213217.84, objective=295907.13
iteration=47, total_cost=82702.18, total_perf_penalty=213224.57, objective=295926.75
iteration=48, total_cost=82777.85, total_perf_penalty=213380.01, objective=296157.85
iteration=49, total_cost=82677.30, total_perf_penalty=214049.47, objective=296726.76
