---------------------------------------------------------------------------------
Metro   Traffic    Disk(MB)     HR%    Cost$/mo    p50 ms    p95 ms   PerfPenalty
---------------------------------------------------------------------------------
  ATL    779146       201.6    90.5     6575.39     26.55    108.72       5847.28
  ORD    704806       156.2    87.2     5625.41     26.65    108.51       5811.39
  DFW    642314        85.5    78.5     4507.51     23.34    112.40       4144.73
  IAD    596768        52.2    68.4     4440.28     12.81     88.91          0.00
  LGA    458121        91.3    80.1     3909.56     22.41    111.92       4321.21
  LAX    454141       123.5    83.0     4544.73     26.45    113.40       9189.41
  MIA    333744        91.3    70.1     4049.05     26.53    115.98       5170.43
  SJC    290084       120.3    84.1     3953.54     25.89    118.41       7009.56
  IAH    208459       153.2    87.8     4390.42     25.56    105.60        795.34
  SEA    189500       128.9    81.1     4018.88     28.82    117.58       9943.13
  BOS    172328        86.2    79.9     1939.86     26.72    109.44       3389.58
  MSP    147329       112.2    82.6     3746.97     28.71    106.96       4948.47
  PHL    146887       104.7    82.1     3677.39     24.86    107.44       1026.61
  DEN    124633        91.8    81.3     1846.08     30.12    115.07      11441.44
  PHX     93834       123.2    82.9     3193.51     26.92    110.89       3224.43
  CLE     89263        85.3    81.6     2614.00     29.08    102.25       2844.47
  PIT     72090        95.3    83.1     2452.60     30.12    104.34       4118.85
  PDX     66660        93.5    75.7     2231.68     24.57    108.74        688.10
  DET     66474       130.2    88.0     1996.79     32.67    114.19      22838.93
  LAS     33993       114.1    81.7     1691.73     29.66    127.12       7459.42
  SJU     27570       169.5    83.4     2158.43     33.44    143.66       7048.50
  OMA     21956        57.6    72.9     1068.15     29.18    112.61       3698.13
  SAN     21214        57.1    70.2     1091.16     31.60    114.84      12481.91
  MCI     20732        83.4    78.2     1234.78     40.33    130.46      53255.38
  HNL     19558       132.5    85.3     1633.99     30.75    164.71       4119.31
  SAC     17339        48.5    68.0     1198.15     33.80    120.71      14870.33
  CVG     15445        81.0    77.7     1126.86     35.47    115.36      16933.36
  RIC     14582        73.0    74.8     1059.19     34.09    118.63      17203.61
  FSD     11027        40.1    67.4      701.21     34.93    114.93       6527.84
  ABQ         0         0.0    11.6        0.00     45.19    136.38      31624.83
  AUS         0         0.0    23.3        0.00     33.82    114.10      11820.99
  BWI         0         0.0    17.5        0.00     34.83    115.37      11547.27
  BUF         0         0.0     8.6        0.00     41.35    128.40      12258.65
  CLT         0         0.0    18.3        0.00     33.86    110.86      39989.14
  CMH         0         0.0     8.6        0.00     39.55    122.94      34002.85
  IND         0         0.0    20.0        0.00     33.52    112.46      13422.75
  SDF         0         0.0    20.0        0.00     41.29    123.72      22645.30
  MEM         0         0.0    18.3        0.00     42.81    128.43      49990.17
  MKE         0         0.0    20.0        0.00     33.70    112.76      14176.37
  MSY         0         0.0    18.3        0.00     37.56    127.82      36685.71
  ORL         0         0.0    10.4        0.00     33.84    121.72      19276.44
  PVD         0         0.0    11.3        0.00     24.97    103.33         37.00
  RDU         0         0.0    17.5        0.00     37.35    114.99      43437.56
  ROC         0         0.0     8.6        0.00     40.99    128.79      13825.22
  STL         0         0.0    20.0        0.00     31.06    114.27       8796.48
  SLC         0         0.0    11.6        0.00     45.04    136.24      90668.20
  SAT         0         0.0    23.3        0.00     35.16    119.69      24655.31
  SYR         0         0.0     9.5        0.00     43.74    132.60      26127.22
  TPA         0         0.0    10.4        0.00     30.49    116.13       8124.54
  HVN         0         0.0    11.3        0.00     21.27    104.20          0.00
  TUS         0         0.0    13.8        0.00      0.00      0.00          0.00
  JAX         0         0.0    18.3        0.00     32.18    117.75      12629.65
  BNA         0         0.0    18.3        0.00     32.92    113.29      15422.00
  BDL         0         0.0    11.3        0.00     33.51    114.60       3417.99
  ANC         0         0.0    12.3        0.00      0.00      0.00          0.00
  MSN         0         0.0    20.0        0.00     32.69    110.67       6724.36
  ALB         0         0.0    11.3        0.00     32.23    116.33       6050.09
  JAN         0         0.0    18.3        0.00     40.71    131.75      21433.16
  LEX         0         0.0     8.6        0.00     36.72    121.38      13000.25
  OKC         0         0.0    23.3        0.00     31.39    119.89      14057.24
---------------------------------------------------------------------------------
TOTAL   5839997                        82677.30                         856197.87
---------------------------------------------------------------------------------

Objective (cost + penalty) = 938875.17
