-----------------------------------------------------------------
 Iter   Total Cost ($/mo)    Wtd-avg P50 (ms)    Wtd-avg P95 (ms)
-----------------------------------------------------------------
    1            71915.91               30.76              118.11
    2            73382.82               30.30              117.17
    3            75378.65               29.97              116.43
    4            77448.87               29.62              115.47
    5            79613.09               29.31              114.55
    6            81680.99               29.10              113.90
    7            84255.41               28.93              113.30
    8            86642.20               28.78              112.74
    9            88582.41               28.63              112.27
   10            90710.54               28.52              111.84
   11            91833.47               28.49              111.71
   12            93261.38               28.43              111.54
   13            94996.20               28.35              111.12
   14            96197.24               28.32              110.96
   15            96925.06               28.26              110.76
   16            97600.57               28.24              110.66
   17            98573.93               28.24              110.61
   18            99062.96               28.18              110.43
   19            99283.47               28.17              110.36
   20            99523.52               28.19              110.39
   21            99609.33               28.14              110.24
   22            99857.00               28.15              110.22
   23           100396.61               28.17              110.27
   24           100666.15               28.10              110.05
   25           100631.50               28.11              110.04
   26           100488.12               28.15              110.16
   27           100954.89               28.10              110.00
   28           101063.37               28.10              110.04
   29           101273.18               28.12              110.02
   30           101358.34               28.04              109.73
   31           101585.27               28.06              109.75
   32           101528.78               28.03              109.68
   33           101763.13               28.02              109.63
   34           101879.82               28.05              109.64
   35           102015.66               28.01              109.58
   36           102243.01               28.01              109.54
   37           102087.91               28.04              109.61
   38           101706.06               28.02              109.59
   39           102029.48               28.04              109.65
   40           101937.63               28.01              109.55
   41           101984.97               28.01              109.58
   42           101935.45               28.05              109.64
   43           102073.88               28.01              109.56
   44           101904.05               28.01              109.56
   45           101945.17               28.04              109.64
   46           101770.32               28.01              109.57
   47           102078.65               28.02              109.59
   48           102114.65               28.04              109.61
   49           101927.35               28.01              109.56
   50           101730.48               28.02              109.59
   51           102116.82               28.04              109.65
   52           102112.54               28.00              109.53
   53           102048.21               28.01              109.58
   54           102171.05               28.04              109.61
   55           101984.19               28.01              109.55
   56           102086.42               27.99              109.40
   57           101790.96               28.01              109.51
   58           101908.91               28.03              109.53
   59           101943.39               28.00              109.50
   60           102085.28               27.99              109.43
   61           101934.94               28.03              109.56
   62           101911.24               27.99              109.44
   63           101951.54               28.00              109.50
   64           102283.60               28.02              109.48
   65           101990.00               28.00              109.49
   66           102136.45               27.99              109.43
   67           101949.75               28.03              109.54
   68           101922.22               27.99              109.45
   69           101983.60               28.00              109.50
   70           102145.97               28.02              109.52
   71           101966.29               27.99              109.47
   72           102066.59               27.99              109.45
   73           101907.41               28.03              109.55
   74           101902.81               27.99              109.47
   75           101957.66               28.00              109.48
   76           102106.92               28.02              109.52
   77           101963.62               28.00              109.47
   78           101877.49               28.00              109.47
   79           101840.36               28.03              109.57
   80           102069.25               27.99              109.45
   81           102352.58               28.00              109.46
   82           102174.09               28.02              109.52
   83           102452.23               27.98              109.41
   84           102198.99               28.00              109.47
   85           102238.93               28.02              109.51
   86           102086.35               27.99              109.45
   87           102302.88               27.99              109.44
   88           102198.41               28.02              109.53
   89           102035.47               27.99              109.44
   90           102312.44               27.99              109.46
   91           102216.78               28.01              109.50
   92           102263.30               28.02              109.52
   93           102070.07               27.99              109.43
   94           102239.07               27.99              109.46
-----------------------------------------------------------------
