iteration=1, total_cost=71915.89, total_perf_penalty=1255808.44, objective=1327724.33
iteration=2, total_cost=73382.82, total_perf_penalty=1134626.79, objective=1208009.61
iteration=3, total_cost=75378.63, total_perf_penalty=1060447.99, objective=1135826.62
iteration=4, total_cost=77448.88, total_perf_penalty=990363.55, objective=1067812.43
iteration=5, total_cost=79613.08, total_perf_penalty=928105.18, objective=1007718.26
iteration=6, total_cost=81681.00, total_perf_penalty=887499.24, objective=969180.24
iteration=7, total_cost=84255.42, total_perf_penalty=850990.31, objective=935245.73
iteration=8, total_cost=86642.22, total_perf_penalty=822583.16, objective=909225.38
iteration=9, total_cost=88582.43, total_perf_penalty=798139.99, objective=886722.42
iteration=10, total_cost=90710.54, total_perf_penalty=777093.65, objective=867804.19
iteration=11, total_cost=91833.44, total_perf_penalty=768866.77, objective=860700.22
iteration=12, total_cost=93261.39, total_perf_penalty=761806.88, objective=855068.27
iteration=13, total_cost=94996.20, total_perf_penalty=743079.45, objective=838075.66
iteration=14, total_cost=96197.24, total_perf_penalty=736802.06, objective=832999.30
iteration=15, total_cost=96925.06, total_perf_penalty=728467.85, objective=825392.91
iteration=16, total_cost=97600.59, total_perf_penalty=724830.65, objective=822431.24
iteration=17, total_cost=98573.93, total_perf_penalty=721761.89, objective=820335.83
iteration=18, total_cost=99062.95, total_perf_penalty=714561.77, objective=813624.73
iteration=19, total_cost=99283.48, total_perf_penalty=711694.38, objective=810977.87
iteration=20, total_cost=99523.52, total_perf_penalty=712669.33, objective=812192.85
iteration=21, total_cost=99609.32, total_perf_penalty=706553.28, objective=806162.60
iteration=22, total_cost=99857.02, total_perf_penalty=707055.18, objective=806912.20
iteration=23, total_cost=100396.61, total_perf_penalty=708383.08, objective=808779.68
iteration=24, total_cost=100666.17, total_perf_penalty=702304.12, objective=802970.29
iteration=25, total_cost=100631.49, total_perf_penalty=701276.08, objective=801907.57
iteration=26, total_cost=100488.13, total_perf_penalty=706117.38, objective=806605.51
iteration=27, total_cost=100954.89, total_perf_penalty=699907.64, objective=800862.53
iteration=28, total_cost=101063.37, total_perf_penalty=701513.55, objective=802576.92
iteration=29, total_cost=101273.18, total_perf_penalty=701353.93, objective=802627.11
iteration=30, total_cost=101358.35, total_perf_penalty=693483.34, objective=794841.69
iteration=31, total_cost=101585.27, total_perf_penalty=694924.08, objective=796509.36
iteration=32, total_cost=101528.79, total_perf_penalty=692238.94, objective=793767.73
iteration=33, total_cost=101763.13, total_perf_penalty=691204.54, objective=792967.68
iteration=34, total_cost=101879.83, total_perf_penalty=692479.79, objective=794359.63
