metro,disk_mb,hitrate,cost,p50_ms,p95_ms,perf_penalty
BWN,8632320.00,87.00,245.88,26.5700,141.0700,718.73
ADL,37867520.00,65.00,2191.73,34.0200,124.6000,10399.23
BNE,143585280.00,82.00,5472.39,28.2400,104.9400,4539.31
MEL,12830720.00,52.00,1711.52,25.9100,104.4700,1342.41
PER,89047040.00,76.00,3739.20,38.1800,120.8500,32408.64
SYD,17940480.00,53.00,2103.37,23.2000,102.8200,0.00
DAC,0.00,1.00,0.00,64.6000,210.2700,5352636.41
PEK,245760.00,1.00,3.75,0.0000,0.0000,0.00
CTU,40960.00,1.00,0.42,0.0000,0.0000,0.00
CAN,40960.00,1.00,0.42,0.0000,0.0000,0.00
HGH,245760.00,1.00,2.50,0.0000,0.0000,0.00
LHW,40960.00,1.00,0.42,0.0000,0.0000,0.00
NGB,245760.00,1.00,2.50,0.0000,0.0000,0.00
JDZ,40960.00,1.00,0.42,0.0000,0.0000,0.00
WUX,245760.00,1.00,2.50,0.0000,0.0000,0.00
TNA,245760.00,1.00,2.50,0.0000,0.0000,0.00
NKG,245760.00,1.00,2.50,0.0000,0.0000,0.00
TAO,245760.00,1.00,2.50,0.0000,0.0000,0.00
SHA,245760.00,1.00,2.50,0.0000,0.0000,0.00
SWA,40960.00,1.00,0.42,0.0000,0.0000,0.00
SHE,245760.00,1.00,2.50,0.0000,0.0000,0.00
SZX,40960.00,1.00,0.42,0.0000,0.0000,0.00
SJW,245760.00,1.00,2.50,0.0000,0.0000,0.00
TSN,245760.00,1.00,2.50,0.0000,0.0000,0.00
WUH,40960.00,1.00,0.42,0.0000,0.0000,0.00
XIY,40960.00,1.00,0.42,0.0000,0.0000,0.00
HKG,2652160.00,60.00,326.55,16.7800,126.4900,385.32
CGK,25466880.00,96.00,777.77,31.2400,156.5800,100570.05
BLR,43796480.00,76.00,4189.66,39.4100,146.8000,15053.11
CCU,300226560.00,95.00,11411.17,46.3100,161.2900,28211.01
MAA,15329280.00,62.00,1550.54,41.1500,149.6100,12872.51
DEL,56975360.00,81.00,3265.59,38.1200,146.0000,25969.09
HYD,592250880.00,100.00,9043.78,26.2300,124.5600,1040.24
BOM,8396800.00,49.00,884.17,40.7900,167.1500,32172.50
PNQ,17653760.00,60.00,720.14,36.7500,158.0900,7141.98
OSA,6103040.00,45.00,699.47,28.0000,121.0500,3755.94
TYO,21207040.00,57.00,1955.04,28.2800,123.7200,7709.69
MMJ,1034240.00,1.00,10.53,32.7800,121.7400,1207.95
OIT,808960.00,1.00,8.24,0.0000,0.0000,0.00
SEL,218572800.00,100.00,3337.65,43.4000,137.8800,208129.64
KUL,25466880.00,96.00,888.37,31.5400,135.5400,15122.07
AKL,125388800.00,85.00,7354.86,28.5000,116.8600,15302.73
CHC,50042880.00,77.00,1710.65,26.1900,108.3000,683.62
WLG,55511040.00,78.00,1853.23,29.5500,118.3100,4193.86
MNL,44881920.00,95.00,1727.32,31.4600,167.8100,34209.10
KHI,1134039040.00,100.00,17316.99,46.6800,228.5500,1501720.94
SIN,6932480.00,87.00,386.97,6.2200,83.2500,0.00
BKK,56381440.00,93.00,2590.16,31.2200,125.1200,23824.78
TPE,24033280.00,83.00,1073.50,29.9600,124.3700,2609.44
BDO,16209920.00,94.00,382.90,29.2300,154.2100,16429.48
CBR,471040.00,1.00,7.19,0.0000,0.0000,0.00
JOG,19845120.00,95.00,434.07,32.3300,159.0100,27952.57
BTH,19845120.00,95.00,413.93,22.2100,155.1200,2943.45
SUB,36976640.00,97.00,1493.95,33.8700,159.7700,67273.00
TXG,40960.00,1.00,0.42,0.0000,0.0000,0.00
NGO,18575360.00,62.00,744.24,20.0400,103.5600,0.00
KMQ,808960.00,1.00,8.24,0.0000,0.0000,0.00
PNH,122880.00,1.00,1.25,0.0000,0.0000,0.00
RGN,7659520.00,83.00,272.84,67.5800,275.1200,32869.34
NYT,122880.00,1.00,1.25,0.0000,0.0000,0.00
MDL,0.00,1.00,0.00,0.0000,0.0000,0.00
VTE,122880.00,1.00,1.25,0.0000,0.0000,0.00
JAI,12247040.00,61.00,466.46,56.0700,178.2800,13379.83
