iteration=1
BWN, disk_mb=10632320.00, hitrate=88.29, cost=250.55, perf_penalty=636.43, p50=25.7200, p95=139.8300, cost_gradient=14.6505, perf_gradient=-150.2711, overall_gradient=-135.6206
ADL, disk_mb=40867520.00, hitrate=65.70, cost=2205.35, perf_penalty=9990.16, p50=33.8000, p95=124.2400, cost_gradient=14.7401, perf_gradient=-368.9983, overall_gradient=-354.2582
BNE, disk_mb=144585280.00, hitrate=82.09, cost=5471.31, perf_penalty=4496.59, p50=28.2200, p95=104.9100, cost_gradient=40.2704, perf_gradient=-85.2433, overall_gradient=-44.9729
MEL, disk_mb=17830720.00, hitrate=55.92, cost=1725.69, perf_penalty=806.01, p50=25.4800, p95=103.6500, cost_gradient=14.1699, perf_gradient=-536.3957, overall_gradient=-522.2258
PER, disk_mb=109047040.00, hitrate=78.10, cost=3836.43, perf_penalty=25367.10, p50=36.4700, p95=119.2900, cost_gradient=6.1470, perf_gradient=-2394.6153, overall_gradient=-2388.4683
SYD, disk_mb=16940480.00, hitrate=52.24, cost=2104.54, perf_penalty=0.00, p50=23.2600, p95=102.9600, cost_gradient=19.8927, perf_gradient=0.0000, overall_gradient=19.8927
DAC, disk_mb=0.00, hitrate=16.90, cost=0.00, perf_penalty=5405515.08, p50=64.7900, p95=212.1300, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
PEK, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
CTU, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CAN, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
HGH, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
LHW, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
NGB, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
JDZ, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
WUX, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
TNA, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
NKG, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
TAO, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SHA, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SWA, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SHE, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SZX, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SJW, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
TSN, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
WUH, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
XIY, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
HKG, disk_mb=3652160.00, hitrate=63.73, cost=327.83, perf_penalty=361.29, p50=15.5900, p95=125.1500, cost_gradient=52.9349, perf_gradient=-77.4576, overall_gradient=-24.5227
CGK, disk_mb=34466880.00, hitrate=96.86, cost=831.50, perf_penalty=98886.72, p50=31.1300, p95=156.4200, cost_gradient=24.5173, perf_gradient=-1081.8299, overall_gradient=-1057.3126
BLR, disk_mb=45796480.00, hitrate=76.34, cost=4169.98, perf_penalty=14878.90, p50=39.3100, p95=146.6400, cost_gradient=6.5802, perf_gradient=-243.9173, overall_gradient=-237.3371
CCU, disk_mb=304226560.00, hitrate=95.22, cost=11171.15, perf_penalty=27974.64, p50=46.2100, p95=161.1000, cost_gradient=-238.7585, perf_gradient=-259.4934, overall_gradient=-498.2519
MAA, disk_mb=25329280.00, hitrate=68.49, cost=1606.89, perf_penalty=10689.26, p50=39.4600, p95=147.2700, cost_gradient=22.4251, perf_gradient=-1201.0494, overall_gradient=-1178.6244
DEL, disk_mb=64975360.00, hitrate=82.15, cost=3358.84, perf_penalty=24175.49, p50=37.5500, p95=145.1700, cost_gradient=69.9450, perf_gradient=-952.0132, overall_gradient=-882.0682
HYD, disk_mb=592250880.00, hitrate=87.50, cost=15397.52, perf_penalty=3268.36, p50=30.9800, p95=133.3600, cost_gradient=0.0000, perf_gradient=0.0000, overall_gradient=0.0000
BOM, disk_mb=56396800.00, hitrate=73.58, cost=1782.61, perf_penalty=14720.58, p50=34.1500, p95=159.4000, cost_gradient=34.1565, perf_gradient=-5992.6071, overall_gradient=-5958.4505
