iteration=1, total_cost=174996.98, total_perf_penalty=15537827.91, objective=15712824.89
iteration=2, total_cost=178132.75, total_perf_penalty=15422402.17, objective=15600534.92
iteration=3, total_cost=181602.13, total_perf_penalty=15376528.64, objective=15558130.77
iteration=4, total_cost=184746.59, total_perf_penalty=15349847.40, objective=15534593.99
iteration=5, total_cost=187285.69, total_perf_penalty=15325534.08, objective=15512819.77
iteration=6, total_cost=189449.03, total_perf_penalty=15316639.05, objective=15506088.08
iteration=7, total_cost=191581.57, total_perf_penalty=15287406.40, objective=15478987.98
iteration=8, total_cost=192837.09, total_perf_penalty=15288970.10, objective=15481807.19
iteration=9, total_cost=193860.03, total_perf_penalty=15275656.62, objective=15469516.65
iteration=10, total_cost=195506.23, total_perf_penalty=15284093.61, objective=15479599.84
iteration=11, total_cost=197259.28, total_perf_penalty=15270582.57, objective=15467841.85
iteration=12, total_cost=197723.53, total_perf_penalty=15269377.44, objective=15467100.97
iteration=13, total_cost=197262.01, total_perf_penalty=15270214.82, objective=15467476.83
iteration=14, total_cost=197504.85, total_perf_penalty=15277949.92, objective=15475454.76
iteration=15, total_cost=197820.44, total_perf_penalty=15277251.59, objective=15475072.03
iteration=16, total_cost=198143.48, total_perf_penalty=15267462.79, objective=15465606.27
iteration=17, total_cost=198486.32, total_perf_penalty=15270280.06, objective=15468766.39
iteration=18, total_cost=198275.29, total_perf_penalty=15271858.63, objective=15470133.92
iteration=19, total_cost=198541.24, total_perf_penalty=15279906.69, objective=15478447.93
iteration=20, total_cost=198506.92, total_perf_penalty=15266600.88, objective=15465107.80
iteration=21, total_cost=198600.37, total_perf_penalty=15273360.72, objective=15471961.09
iteration=22, total_cost=198800.73, total_perf_penalty=15267542.36, objective=15466343.09
iteration=23, total_cost=198653.55, total_perf_penalty=15275575.29, objective=15474228.84
iteration=24, total_cost=199007.78, total_perf_penalty=15262655.95, objective=15461663.73
iteration=25, total_cost=199211.24, total_perf_penalty=15272143.32, objective=15471354.56
iteration=26, total_cost=199172.89, total_perf_penalty=15267197.33, objective=15466370.22
iteration=27, total_cost=199148.58, total_perf_penalty=15275246.05, objective=15474394.63
iteration=28, total_cost=199026.44, total_perf_penalty=15268385.61, objective=15467412.05
iteration=29, total_cost=198846.41, total_perf_penalty=15212790.37, objective=15411636.79
iteration=30, total_cost=199163.43, total_perf_penalty=15236419.15, objective=15435582.58
iteration=31, total_cost=199068.23, total_perf_penalty=15212539.73, objective=15411607.95
iteration=32, total_cost=198827.62, total_perf_penalty=15222073.58, objective=15420901.20
iteration=33, total_cost=198886.48, total_perf_penalty=15210520.38, objective=15409406.86
iteration=34, total_cost=198895.21, total_perf_penalty=15222299.37, objective=15421194.58
iteration=35, total_cost=198748.88, total_perf_penalty=15213282.08, objective=15412030.96
iteration=36, total_cost=198853.46, total_perf_penalty=15237790.73, objective=15436644.18
iteration=37, total_cost=199052.66, total_perf_penalty=15211520.44, objective=15410573.09
iteration=38, total_cost=199345.93, total_perf_penalty=15214690.04, objective=15414035.96
iteration=39, total_cost=198879.80, total_perf_penalty=15218691.69, objective=15417571.49
iteration=40, total_cost=199185.75, total_perf_penalty=15218199.98, objective=15417385.73
iteration=41, total_cost=199004.87, total_perf_penalty=15210522.89, objective=15409527.75
iteration=42, total_cost=199093.59, total_perf_penalty=15239726.97, objective=15438820.56
iteration=43, total_cost=198971.86, total_perf_penalty=15211551.63, objective=15410523.49
iteration=44, total_cost=198915.39, total_perf_penalty=15219231.79, objective=15418147.18
iteration=45, total_cost=199023.40, total_perf_penalty=15212345.27, objective=15411368.67
iteration=46, total_cost=198990.16, total_perf_penalty=15224193.09, objective=15423183.25
iteration=47, total_cost=198871.69, total_perf_penalty=15228097.94, objective=15426969.62
iteration=48, total_cost=198969.90, total_perf_penalty=15215269.45, objective=15414239.35
iteration=49, total_cost=199069.41, total_perf_penalty=15215744.21, objective=15414813.62
iteration=50, total_cost=199093.82, total_perf_penalty=15223912.36, objective=15423006.19
iteration=51, total_cost=199523.06, total_perf_penalty=15220816.77, objective=15420339.82
