iteration=1
ABQ, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=34893.77, p50=46.2640, p95=139.5020, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ATL, disk_mb=91384640.00, hitrate=75.60, cost=5396.59, perf_penalty=22224.21, p50=29.0700, p95=118.1330, cost_gradient=51.8126, perf_gradient=-810.3584, overall_gradient=-758.5457
AUS, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=12736.24, p50=34.1670, p95=115.3810, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BWI, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=12802.89, p50=35.4140, p95=116.2860, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BOS, disk_mb=38416320.00, hitrate=62.76, cost=1623.23, perf_penalty=11644.32, p50=29.4230, p95=116.1970, cost_gradient=24.9431, perf_gradient=-1171.4975, overall_gradient=-1146.5544
BUF, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=13677.57, p50=42.3120, p95=131.6070, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CLT, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=62408.36, p50=36.0290, p95=121.1710, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ORD, disk_mb=67825600.00, hitrate=74.03, cost=4683.19, perf_penalty=18578.18, p50=28.8370, p95=115.2670, cost_gradient=24.9378, perf_gradient=-1071.6152, overall_gradient=-1046.6774
CVG, disk_mb=25923520.00, hitrate=59.92, cost=735.34, perf_penalty=23371.69, p50=37.4930, p95=118.8590, cost_gradient=7.5754, perf_gradient=-1098.8225, overall_gradient=-1091.2470
CLE, disk_mb=71478400.00, hitrate=78.22, cost=2571.72, perf_penalty=3846.44, p50=29.9120, p95=104.6730, cost_gradient=12.2237, perf_gradient=-296.1952, overall_gradient=-283.9715
CMH, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=36047.83, p50=40.0250, p95=123.7270, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
DFW, disk_mb=69638720.00, hitrate=74.20, cost=4449.28, perf_penalty=5258.71, p50=24.0370, p95=114.3850, cost_gradient=76.8181, perf_gradient=-121.5182, overall_gradient=-44.7001
DEN, disk_mb=30207040.00, hitrate=60.30, cost=1260.49, perf_penalty=19236.86, p50=32.1110, p95=119.0320, cost_gradient=7.9826, perf_gradient=-1500.0121, overall_gradient=-1492.0295
DET, disk_mb=74478400.00, hitrate=78.94, cost=1824.12, perf_penalty=35161.24, p50=34.7460, p95=119.5240, cost_gradient=3.1452, perf_gradient=-825.5458, overall_gradient=-822.4007
HNL, disk_mb=66968320.00, hitrate=72.50, cost=1091.34, perf_penalty=32984.61, p50=51.6450, p95=184.0050, cost_gradient=11.0843, perf_gradient=-7317.2595, overall_gradient=-7306.1751
IAH, disk_mb=157668480.00, hitrate=87.30, cost=4423.75, perf_penalty=1087.63, p50=25.6880, p95=106.2950, cost_gradient=-50.3750, perf_gradient=-242.0056, overall_gradient=-292.3806
IND, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=20864.06, p50=35.7490, p95=119.5430, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MCI, disk_mb=33422400.00, hitrate=63.86, cost=910.80, perf_penalty=68579.59, p50=42.5940, p95=135.2890, cost_gradient=5.5632, perf_gradient=-1457.0805, overall_gradient=-1451.5173
LAS, disk_mb=41689920.00, hitrate=64.40, cost=1346.01, perf_penalty=18018.69, p50=34.0580, p95=134.5660, cost_gradient=14.6984, perf_gradient=-816.1562, overall_gradient=-801.4578
LAX, disk_mb=55516160.00, hitrate=68.70, cost=3709.01, perf_penalty=25636.06, p50=29.0220, p95=119.9370, cost_gradient=17.3899, perf_gradient=-2673.4228, overall_gradient=-2656.0329
SDF, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=30146.01, p50=43.9330, p95=130.3740, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MEM, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=57352.12, p50=44.1050, p95=133.5960, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MIA, disk_mb=40758080.00, hitrate=53.70, cost=3533.31, perf_penalty=11099.16, p50=28.5790, p95=121.3740, cost_gradient=35.6917, perf_gradient=-779.3109, overall_gradient=-743.6192
MKE, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=22666.87, p50=36.1710, p95=119.8440, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MSP, disk_mb=116653760.00, hitrate=82.49, cost=3745.33, perf_penalty=5028.24, p50=28.7450, p95=107.0470, cost_gradient=-6.5031, perf_gradient=-481.4931, overall_gradient=-487.9962
MSY, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=42103.64, p50=38.5530, p95=130.5850, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
LGA, disk_mb=66757760.00, hitrate=74.49, cost=3586.56, perf_penalty=6284.55, p50=23.5350, p95=115.0670, cost_gradient=52.5595, perf_gradient=-323.9972, overall_gradient=-271.4376
ORL, disk_mb=0.00, hitrate=10.40, cost=0.00, perf_penalty=26878.21, p50=35.6720, p95=126.9460, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
PHL, disk_mb=109779520.00, hitrate=82.11, cost=3677.39, perf_penalty=1211.33, p50=24.9080, p95=107.9220, cost_gradient=20.5379, perf_gradient=-148.9676, overall_gradient=-128.4297
PHX, disk_mb=81158400.00, hitrate=74.60, cost=3054.35, perf_penalty=8703.50, p50=29.2310, p95=116.4950, cost_gradient=13.3571, perf_gradient=-604.6154, overall_gradient=-591.2583
PIT, disk_mb=64938240.00, hitrate=76.93, cost=2258.20, perf_penalty=6934.79, p50=31.7230, p95=108.4780, cost_gradient=18.5854, perf_gradient=-551.9182, overall_gradient=-533.3328
PDX, disk_mb=101024320.00, hitrate=76.10, cost=2241.75, perf_penalty=1102.43, p50=25.2850, p95=109.8560, cost_gradient=29.5586, perf_gradient=-115.5336, overall_gradient=-85.9750
PVD, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=755.20, p50=27.5690, p95=111.3870, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
RDU, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=52252.01, p50=38.4990, p95=121.1840, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ROC, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=15454.26, p50=41.9550, p95=131.8510, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAC, disk_mb=27813760.00, hitrate=57.47, cost=986.25, perf_penalty=23556.49, p50=36.4590, p95=126.7700, cost_gradient=13.0438, perf_gradient=-2317.2549, overall_gradient=-2304.2111
STL, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=15716.43, p50=33.4770, p95=120.7580, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
