---------------------------------------------------------------------------------
Metro   Traffic    Disk(MB)     HR%    Cost$/mo    p50 ms    p95 ms   PerfPenalty
---------------------------------------------------------------------------------
  ATL    779146       217.8    91.6     6875.16     26.38    107.84       4876.94
  ORD    704806       218.2    92.1     6725.69     25.91    105.14       2099.01
  DFW    642314       189.4    91.2     5969.95     21.47    105.12         68.35
  IAD    596768        54.2    69.6     4371.29     12.53     88.34          0.00
  LGA    458121       164.8    88.9     5221.01     20.81    105.38        234.73
  LAX    454141       253.2    91.6     7374.05     25.18    107.70       2611.03
  MIA    333744       163.8    82.5     5315.46     25.22    109.96       1917.69
  SJC    290084       170.8    88.5     5097.80     25.06    115.23       4679.77
  IAH    208459       187.6    90.9     4453.42     24.94    102.31        230.90
  SEA    189500       209.0    87.8     5951.54     27.51    113.15       5678.63
  BOS    172328       117.7    84.5     2315.81     25.96    105.42       1220.09
  MSP    147329       207.6    91.7     4253.47     26.36     99.27       1138.25
  PHL    146887       137.1    86.6     3694.70     24.16    102.97          8.28
  DEN    124633       108.9    83.6     2075.09     29.74    111.53       9507.68
  PHX     93834       160.4    86.1     3564.59     26.00    107.74       1513.44
  CLE     89263       131.1    88.1     2904.95     27.54     96.79       1382.22
  PIT     72090       126.8    87.7     2706.00     29.11    100.67       2870.97
  PDX     66660       118.3    79.7     2293.30     23.59    105.79        133.67
  DET     66474       248.4    95.1     2897.98     31.19    109.68      15246.96
  LAS     33993       159.9    86.0     2068.36     28.41    123.27       5195.67
  SJU     27570       205.8    86.0     2491.08     31.95    141.62       5505.25
  OMA     21956        83.4    78.2     1255.14     28.09    109.30       2257.53
  SAN     21214       116.2    82.0     1531.25     29.84    108.81       6992.58
  MCI     20732       206.4    91.6     2335.08     38.34    125.03      41161.76
  HNL     19558       182.1    89.0     2108.53     28.32    158.71       2832.41
  SAC     17339       120.9    84.2     2145.03     32.12    115.90      10228.05
  CVG     15445       112.5    82.6     1404.56     34.72    113.65      14740.72
  RIC     14582       154.0    88.0     1777.49     32.93    117.45      13729.68
  FSD     11027        82.0    77.9     1061.29     32.25    107.88       3579.35
  ABQ         0         0.0    11.6        0.00     44.26    132.04      28796.66
  AUS         0         0.0    23.3        0.00     32.73    108.91       8966.73
  BWI         0         0.0    17.5        0.00     34.21    114.09      10257.01
  BUF         0         0.0     8.6        0.00     40.01    121.36      10305.98
  CLT         0         0.0    18.3        0.00     33.72    109.90      38567.57
  CMH         0         0.0     8.6        0.00     38.93    121.78      31347.00
  IND         0         0.0    20.0        0.00     32.79    108.96      11106.72
  SDF         0         0.0    20.0        0.00     40.38    120.57      20252.08
  MEM         0         0.0    18.3        0.00     41.73    124.08      44179.03
  MKE         0         0.0    20.0        0.00     32.88    109.28      11550.26
  MSY         0         0.0    18.3        0.00     36.52    124.09      31185.43
  ORL         0         0.0    10.4        0.00     32.67    115.64      14595.04
  PVD         0         0.0    11.3        0.00     24.47    100.04          8.83
  RDU         0         0.0    17.5        0.00     37.19    114.20      42281.30
  ROC         0         0.0     8.6        0.00     39.75    122.19      11733.77
  STL         0         0.0    20.0        0.00     30.29    111.11       6807.59
  SLC         0         0.0    11.6        0.00     44.07    132.93      82415.63
  SAT         0         0.0    23.3        0.00     33.95    113.49      19045.80
  SYR         0         0.0     9.5        0.00     42.40    126.03      22510.09
  TPA         0         0.0    10.4        0.00     29.40    109.72       5169.54
  HVN         0         0.0    11.3        0.00     20.08     96.33          0.00
  TUS         0         0.0    13.8        0.00      0.00      0.00          0.00
  JAX         0         0.0    18.3        0.00     31.67    115.22      10938.59
  BNA         0         0.0    18.3        0.00     32.76    112.39      14761.45
  BDL         0         0.0    11.3        0.00     32.79    111.64       2865.06
  ANC         0         0.0    12.3        0.00      0.00      0.00          0.00
  MSN         0         0.0    20.0        0.00     31.19    104.96       4276.14
  ALB         0         0.0    11.3        0.00     31.02    110.24       4172.37
  JAN         0         0.0    18.3        0.00     39.82    128.34      19161.72
  LEX         0         0.0     8.6        0.00     36.26    119.37      12007.91
  OKC         0         0.0    23.3        0.00     29.64    112.87       8023.45
---------------------------------------------------------------------------------
TOTAL   5839997                       102239.09                         688930.39
---------------------------------------------------------------------------------

Objective (cost + penalty) = 791169.48
