-----------------------------------------------------------------
 Iter   Total Cost ($/mo)    Wtd-avg P50 (ms)    Wtd-avg P95 (ms)
-----------------------------------------------------------------
    1           172729.52               48.14              199.60
    2           175860.55               47.97              199.37
    3           179329.29               47.88              199.20
    4           182480.43               47.81              199.11
    5           185020.61               47.75              198.97
    6           187182.91               47.73              198.99
    7           189316.51               47.68              198.82
    8           190570.96               47.69              198.94
    9           191594.94               47.65              198.74
   10           193240.09               47.66              198.84
   11           194994.19               47.66              198.84
   12           195457.43               47.63              198.73
   13           194996.92               47.64              198.80
   14           195238.71               47.64              198.80
   15           195555.33               47.65              198.82
   16           195877.37               47.62              198.75
   17           196221.25               47.64              198.83
   18           196009.16               47.62              198.73
   19           196276.15               47.64              198.81
   20           196240.79               47.62              198.75
   21           196335.29               47.64              198.81
   22           196534.61               47.62              198.74
   23           196388.47               47.64              198.81
   24           196741.65               47.61              198.73
   25           196946.17               47.63              198.80
   26           196906.75               47.62              198.74
   27           196883.49               47.65              198.84
   28           196760.31               47.62              198.71
   29           196581.34               47.58              198.72
   30           196897.27               47.61              198.81
   31           196803.15               47.58              198.69
   32           196561.47               47.60              198.81
   33           196621.43               47.58              198.71
   34           196629.08               47.61              198.84
   35           196483.81               47.58              198.67
   36           196587.32               47.60              198.79
   37           196787.58               47.58              198.73
   38           197079.79               47.59              198.79
   39           196614.74               47.58              198.72
   40           196919.62               47.60              198.83
   41           196739.78               47.58              198.67
   42           196827.45               47.60              198.78
   43           196706.79               47.58              198.73
   44           196649.26               47.60              198.81
   45           196758.32               47.58              198.69
   46           196724.04               47.61              198.84
   47           196606.64               47.59              198.67
   48           196703.77               47.59              198.77
   49           196804.33               47.58              198.72
   50           196827.71               47.60              198.81
   51           197257.96               47.58              198.67
-----------------------------------------------------------------
