-----------------------------------------------------------------
 Iter   Total Cost ($/mo)    Wtd-avg P50 (ms)    Wtd-avg P95 (ms)
-----------------------------------------------------------------
    1           110326.75               58.78              180.12
    2           115450.38               57.58              179.05
    3           120154.91               56.57              178.19
    4           125692.73               55.76              177.34
    5           131364.80               55.16              176.76
    6           137472.91               54.76              176.29
    7           142388.47               54.37              175.82
    8           145591.62               54.20              175.58
    9           150816.07               53.99              175.29
   10           156490.02               53.80              175.02
   11           161992.72               53.53              174.64
   12           167372.75               53.32              174.41
   13           172301.98               53.21              174.24
   14           177636.38               53.07              174.04
   15           181944.97               53.02              173.96
   16           185770.32               52.86              173.78
   17           188133.38               52.88              173.79
   18           191920.98               52.78              173.63
   19           193806.62               52.79              173.64
   20           195335.97               52.77              173.60
   21           197422.22               52.72              173.51
   22           199752.37               52.64              173.47
   23           202027.79               52.60              173.41
   24           203992.52               52.54              173.30
   25           204258.64               52.54              173.30
   26           205598.68               52.55              173.32
   27           206219.52               52.54              173.29
   28           206409.66               52.58              173.34
   29           207549.91               52.58              173.32
   30           210399.33               52.44              173.17
   31           212627.03               52.42              173.13
   32           212952.92               52.43              173.16
   33           214566.81               52.44              173.17
   34           216431.44               52.37              173.03
   35           216375.01               52.39              173.05
   36           217922.22               52.39              173.05
   37           218586.45               52.41              173.05
   38           219013.84               52.33              173.01
   39           220629.69               52.32              172.99
   40           224143.31               52.27              172.92
   41           224284.53               52.29              172.91
   42           225562.96               52.28              172.91
   43           226813.41               52.28              172.89
   44           226621.34               52.26              172.88
   45           227117.40               52.28              172.88
   46           228329.91               52.28              172.89
   47           228850.83               52.28              172.89
   48           229833.14               52.23              172.86
   49           230270.11               52.22              172.83
   50           231651.67               52.20              172.80
   51           231612.99               52.22              172.83
   52           231783.35               52.24              172.86
   53           231440.76               52.24              172.83
   54           231185.36               52.17              172.80
   55           231745.82               52.17              172.80
   56           232731.38               52.19              172.81
   57           233067.93               52.19              172.82
   58           233564.90               52.19              172.80
   59           234557.38               52.18              172.78
   60           234027.91               52.22              172.83
   61           234080.60               52.22              172.81
   62           233613.31               52.24              172.84
   63           234670.37               52.18              172.80
   64           235101.58               52.16              172.76
   65           235311.80               52.18              172.78
   66           234922.25               52.18              172.78
   67           234737.19               52.20              172.80
   68           235968.51               52.22              172.80
   69           236518.11               52.16              172.76
   70           236734.16               52.16              172.76
   71           237079.56               52.19              172.78
   72           237040.38               52.18              172.76
   73           237000.85               52.15              172.76
   74           237808.51               52.16              172.77
   75           237844.73               52.16              172.75
   76           238252.14               52.17              172.76
   77           237997.51               52.21              172.81
   78           238231.04               52.14              172.70
   79           238308.59               52.11              172.70
   80           237557.24               52.11              172.71
   81           238255.28               52.14              172.73
   82           238585.37               52.15              172.75
   83           239647.72               52.18              172.78
   84           241326.18               52.15              172.73
   85           241818.05               52.19              172.76
   86           240655.43               52.12              172.74
   87           240913.06               52.14              172.75
   88           240709.25               52.12              172.71
   89           240728.01               52.15              172.75
   90           240983.09               52.17              172.78
   91           241582.93               52.15              172.71
   92           241150.21               52.15              172.71
   93           242984.60               52.12              172.72
   94           242184.69               52.12              172.71
   95           242732.73               52.14              172.71
   96           242304.44               52.15              172.73
   97           242165.09               52.17              172.74
   98           241429.29               52.19              172.77
   99           241932.00               52.07              172.64
  100           242248.68               52.10              172.70
  101           242912.05               52.14              172.74
  102           242396.28               52.12              172.70
  103           242368.50               52.14              172.71
  104           242119.76               52.16              172.75
  105           242111.60               52.14              172.69
  106           241578.05               52.15              172.70
  107           242696.43               52.11              172.70
  108           241723.37               52.15              172.76
  109           243222.66               52.13              172.70
  110           242026.22               52.15              172.75
  111           242550.43               52.13              172.67
  112           242378.13               52.15              172.70
  113           242620.78               52.09              172.70
  114           244517.46               52.10              172.69
  115           244961.70               52.12              172.72
  116           244151.04               52.11              172.69
  117           244263.30               52.12              172.68
  118           243528.62               52.15              172.72
  119           243743.84               52.16              172.71
  120           243317.69               52.10              172.71
  121           243551.37               52.10              172.70
  122           243271.09               52.08              172.66
  123           243838.65               52.10              172.67
  124           244917.30               52.11              172.69
  125           245516.38               52.13              172.70
  126           245294.10               52.16              172.74
  127           246677.72               52.14              172.69
  128           245644.88               52.08              172.69
  129           246465.05               52.10              172.68
  130           246214.67               52.12              172.71
-----------------------------------------------------------------
