metro,disk_mb,hitrate,cost,p50_ms,p95_ms,perf_penalty
DXB,15472640.00,47.00,1126.77,117.0600,258.4700,444818.73
VIE,16650240.00,48.00,1221.40,41.2100,142.8000,26791.54
BRU,18196480.00,47.00,1345.69,35.1700,117.0000,13839.92
SOF,8826880.00,39.00,475.81,48.0300,139.5400,15287.28
FIH,696320.00,1.00,7.09,152.0800,350.2600,465581.39
BRN,8304640.00,45.00,442.41,25.4300,110.7200,253.76
ZRH,9635840.00,47.00,705.45,22.0300,112.5500,397.27
PRG,15472640.00,47.00,1168.73,35.2900,127.0800,9768.22
BER,14592000.00,77.00,912.98,29.6400,115.4200,5906.40
DUS,42629120.00,60.00,1613.95,31.4000,114.9600,10288.93
FRA,18298880.00,41.00,2344.92,23.0800,138.9000,6933.50
HAM,14592000.00,77.00,947.26,28.2900,110.0200,3387.97
MUC,9635840.00,47.00,1222.96,33.8800,120.5300,10131.63
STR,2078720.00,1.00,21.16,33.8500,119.0000,6184.84
AAR,10240.00,1.00,0.10,0.0000,0.0000,0.00
CPH,3584000.00,64.00,310.34,29.6400,122.7100,1765.97
ALG,25180160.00,52.00,1111.21,78.9300,226.0600,13413.25
CAI,20807680.00,58.00,922.74,88.0300,227.5500,59204.05
BCN,25180160.00,52.00,1110.40,27.0100,117.7600,1084.94
MAD,43796480.00,59.00,3000.62,26.8700,134.1400,13226.26
HEL,13342720.00,47.00,855.04,40.4800,140.0100,18923.38
LYS,24616960.00,59.00,936.18,31.5400,125.2300,11373.70
PAR,25282560.00,60.00,2868.99,18.8300,115.3500,5396.72
BHX,12636160.00,41.00,869.21,24.6500,102.8500,33.84
BRS,2109440.00,1.00,21.47,24.6300,100.9100,12.35
GLA,5642240.00,52.00,278.89,27.4600,103.8400,277.41
LBA,13414400.00,42.00,976.20,26.0600,102.8000,288.93
EMA,6072320.00,28.00,319.11,28.5600,105.2200,668.36
LPL,225280.00,1.00,2.29,0.0000,0.0000,0.00
LON,41574400.00,59.00,4269.09,20.8500,105.9800,508.76
MAN,16138240.00,45.00,1113.86,25.1000,104.1200,76.24
ATH,14325760.00,53.00,1145.82,46.5000,148.6500,54476.39
BUD,35758080.00,58.00,1567.13,41.9700,137.5800,55761.03
DUB,19783680.00,66.00,1321.06,15.8600,87.6300,0.00
TLV,37304320.00,65.00,1362.89,47.2700,151.1700,726.97
SDA,61132800.00,65.00,2254.61,73.4300,225.2800,199927.53
IKA,870400.00,1.00,8.86,0.0000,0.0000,0.00
PSA,696320.00,1.00,7.09,35.4200,129.4200,3526.86
MIL,36710400.00,50.00,3532.98,32.5000,138.0500,27538.90
NAP,696320.00,1.00,7.09,0.0000,0.0000,0.00
PMO,26296320.00,61.00,1883.30,0.0000,0.0000,0.00
FCO,37304320.00,65.00,2098.12,37.6700,146.2100,29074.13
TRN,3266560.00,1.00,33.25,0.0000,0.0000,0.00
VNO,4761600.00,29.00,236.49,47.1200,170.4500,7979.79
LOS,18841600.00,48.00,883.77,180.9700,285.8800,7095778.46
AMS,18196480.00,47.00,2167.49,19.3900,117.6900,3743.98
RTM,1331200.00,1.00,20.33,25.6500,104.6400,80.20
OSL,25681920.00,57.00,1071.17,31.1900,129.9700,7250.93
WAW,52531200.00,63.00,2993.02,51.0100,165.0600,156069.20
LIS,66949120.00,64.00,4644.04,31.9500,120.5700,3135.46
OTP,35758080.00,58.00,1581.81,45.5300,146.0900,73482.33
SVO,69662720.00,71.00,4418.62,63.0000,199.6700,805712.01
STO,8765440.00,40.00,988.80,26.1200,124.5100,2429.73
IST,52531200.00,63.00,3022.52,49.7300,158.9500,143122.12
JNB,49633280.00,68.00,3133.56,60.8800,269.7300,100569.64
LCG,1320960.00,1.00,13.45,0.0000,0.0000,0.00
BIO,1320960.00,1.00,13.45,24.4700,109.6300,53.20
EDI,225280.00,1.00,2.29,0.0000,0.0000,0.00
HUY,2109440.00,1.00,21.47,0.0000,0.0000,0.00
MRS,71383040.00,60.00,5303.83,17.7100,106.5100,130.78
OVD,1320960.00,1.00,13.45,0.0000,0.0000,0.00
SVQ,1320960.00,1.00,13.45,32.2300,126.1700,3145.38
