iteration=1, total_cost=115876.35, total_perf_penalty=21805786.64, objective=21921662.99
iteration=2, total_cost=121040.49, total_perf_penalty=20021770.74, objective=20142811.23
iteration=3, total_cost=126487.12, total_perf_penalty=18563327.85, objective=18689814.97
iteration=4, total_cost=132141.91, total_perf_penalty=17856857.28, objective=17988999.19
iteration=5, total_cost=137803.73, total_perf_penalty=17447882.23, objective=17585685.96
iteration=6, total_cost=144166.25, total_perf_penalty=17197138.32, objective=17341304.57
iteration=7, total_cost=150241.09, total_perf_penalty=16861006.33, objective=17011247.41
iteration=8, total_cost=156621.28, total_perf_penalty=16396746.60, objective=16553367.89
iteration=9, total_cost=162812.23, total_perf_penalty=15855691.17, objective=16018503.40
iteration=10, total_cost=169245.62, total_perf_penalty=15663562.53, objective=15832808.14
iteration=11, total_cost=174727.95, total_perf_penalty=15590662.46, objective=15765390.42
iteration=12, total_cost=180087.63, total_perf_penalty=15508606.44, objective=15688694.07
iteration=13, total_cost=184996.51, total_perf_penalty=15226212.21, objective=15411208.72
iteration=14, total_cost=190300.37, total_perf_penalty=15167080.54, objective=15357380.91
iteration=15, total_cost=194568.22, total_perf_penalty=15119153.36, objective=15313721.57
iteration=16, total_cost=198363.01, total_perf_penalty=15086482.96, objective=15284845.98
iteration=17, total_cost=200685.37, total_perf_penalty=15097273.48, objective=15297958.85
iteration=18, total_cost=204442.40, total_perf_penalty=15039716.77, objective=15244159.18
iteration=19, total_cost=206297.55, total_perf_penalty=15035530.24, objective=15241827.79
iteration=20, total_cost=207775.97, total_perf_penalty=15033771.28, objective=15241547.25
iteration=21, total_cost=209831.68, total_perf_penalty=15024047.94, objective=15233879.62
iteration=22, total_cost=212100.75, total_perf_penalty=15029218.70, objective=15241319.45
iteration=23, total_cost=214345.63, total_perf_penalty=15000071.36, objective=15214417.00
iteration=24, total_cost=216249.28, total_perf_penalty=14928119.84, objective=15144369.13
iteration=25, total_cost=216484.93, total_perf_penalty=14927997.38, objective=15144482.31
iteration=26, total_cost=217764.93, total_perf_penalty=14938396.95, objective=15156161.88
iteration=27, total_cost=219321.22, total_perf_penalty=14914336.97, objective=15133658.19
iteration=28, total_cost=219460.50, total_perf_penalty=14960233.61, objective=15179694.12
iteration=29, total_cost=220560.01, total_perf_penalty=14969465.94, objective=15190025.95
iteration=30, total_cost=223348.34, total_perf_penalty=14896776.45, objective=15120124.78
iteration=31, total_cost=225545.53, total_perf_penalty=14793172.62, objective=15018718.15
iteration=32, total_cost=225810.32, total_perf_penalty=14872086.09, objective=15097896.41
iteration=33, total_cost=227383.49, total_perf_penalty=14915465.30, objective=15142848.80
iteration=34, total_cost=229197.20, total_perf_penalty=14763514.31, objective=14992711.51
iteration=35, total_cost=229100.04, total_perf_penalty=14743839.61, objective=14972939.65
iteration=36, total_cost=230586.18, total_perf_penalty=14740658.28, objective=14971244.45
iteration=37, total_cost=231209.69, total_perf_penalty=14778384.33, objective=15009594.03
iteration=38, total_cost=231576.00, total_perf_penalty=14719390.18, objective=14950966.19
iteration=39, total_cost=233161.37, total_perf_penalty=14739196.80, objective=14972358.17
iteration=40, total_cost=236634.22, total_perf_penalty=14662282.99, objective=14898917.20
iteration=41, total_cost=236724.61, total_perf_penalty=14580184.58, objective=14816909.19
iteration=42, total_cost=237962.21, total_perf_penalty=14575867.70, objective=14813829.92
iteration=43, total_cost=239182.18, total_perf_penalty=14570334.38, objective=14809516.56
iteration=44, total_cost=238929.00, total_perf_penalty=14554347.85, objective=14793276.85
iteration=45, total_cost=239384.36, total_perf_penalty=14557033.48, objective=14796417.84
iteration=46, total_cost=240546.14, total_perf_penalty=14592323.22, objective=14832869.36
iteration=47, total_cost=241535.15, total_perf_penalty=14569504.58, objective=14811039.73
