iteration=1
ABQ, disk_mb=0.00, hitrate=-27.40, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ATL, disk_mb=36996160.00, hitrate=56.74, cost=3314.06, perf_penalty=25347.05, p50=33.0000, p95=125.7300, cost_gradient=4.4059, perf_gradient=-2718.0329, overall_gradient=-2713.6269
AUS, disk_mb=925120.00, hitrate=-6.36, cost=9.42, perf_penalty=13904.82, p50=40.4990, p95=128.3410, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BWI, disk_mb=792000.00, hitrate=-6.96, cost=8.06, perf_penalty=13848.72, p50=44.0070, p95=127.8660, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BOS, disk_mb=25034880.00, hitrate=44.90, cost=856.48, perf_penalty=8020.23, p50=31.8540, p95=118.5810, cost_gradient=23.5451, perf_gradient=-5495.1414, overall_gradient=-5471.5963
BUF, disk_mb=0.00, hitrate=-26.80, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CLT, disk_mb=157120.00, hitrate=-14.43, cost=2.40, perf_penalty=43486.97, p50=39.5050, p95=128.8860, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ORD, disk_mb=35208000.00, hitrate=59.70, cost=3451.49, perf_penalty=17547.95, p50=31.7290, p95=120.3700, cost_gradient=19.2000, perf_gradient=-1574.3563, overall_gradient=-1555.1564
CVG, disk_mb=0.00, hitrate=-19.30, cost=0.00, perf_penalty=14471.10, p50=48.1420, p95=129.3770, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CLE, disk_mb=19414400.00, hitrate=55.78, cost=1092.12, perf_penalty=8198.74, p50=36.7400, p95=116.1960, cost_gradient=7.9794, perf_gradient=-1664.3169, overall_gradient=-1656.3375
CMH, disk_mb=0.00, hitrate=-26.80, cost=0.00, perf_penalty=33189.67, p50=52.8450, p95=138.3620, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
DFW, disk_mb=33152960.00, hitrate=48.42, cost=3110.25, perf_penalty=11455.58, p50=29.5170, p95=123.1420, cost_gradient=14.4876, perf_gradient=-2209.3658, overall_gradient=-2194.8781
