iteration=1, total_cost=44405.74, total_perf_penalty=1364861.45, objective=1409267.19
iteration=2, total_cost=46084.35, total_perf_penalty=1253974.74, objective=1300059.09
iteration=3, total_cost=48281.92, total_perf_penalty=1187121.07, objective=1235402.98
iteration=4, total_cost=50840.31, total_perf_penalty=1126952.90, objective=1177793.21
iteration=5, total_cost=53485.73, total_perf_penalty=1091879.26, objective=1145364.99
iteration=6, total_cost=55982.32, total_perf_penalty=1044065.34, objective=1100047.66
iteration=7, total_cost=57853.32, total_perf_penalty=1027878.65, objective=1085731.97
iteration=8, total_cost=59964.13, total_perf_penalty=1008833.81, objective=1068797.94
iteration=9, total_cost=61723.11, total_perf_penalty=997906.03, objective=1059629.13
iteration=10, total_cost=63959.23, total_perf_penalty=977543.37, objective=1041502.60
iteration=11, total_cost=64938.87, total_perf_penalty=975831.46, objective=1040770.32
iteration=12, total_cost=66486.80, total_perf_penalty=967865.14, objective=1034351.94
iteration=13, total_cost=67673.99, total_perf_penalty=963316.48, objective=1030990.46
iteration=14, total_cost=69316.01, total_perf_penalty=951980.64, objective=1021296.65
iteration=15, total_cost=70875.47, total_perf_penalty=942188.77, objective=1013064.24
iteration=16, total_cost=71869.07, total_perf_penalty=936081.15, objective=1007950.22
iteration=17, total_cost=72204.96, total_perf_penalty=935168.82, objective=1007373.78
iteration=18, total_cost=72806.89, total_perf_penalty=932368.61, objective=1005175.50
iteration=19, total_cost=73134.84, total_perf_penalty=932605.35, objective=1005740.19
iteration=20, total_cost=73545.79, total_perf_penalty=929724.71, objective=1003270.50
iteration=21, total_cost=74405.64, total_perf_penalty=921035.33, objective=995440.97
iteration=22, total_cost=74180.35, total_perf_penalty=922234.98, objective=996415.34
iteration=23, total_cost=74631.88, total_perf_penalty=922223.29, objective=996855.17
iteration=24, total_cost=74530.95, total_perf_penalty=920970.58, objective=995501.53
iteration=25, total_cost=74584.02, total_perf_penalty=922186.10, objective=996770.12
iteration=26, total_cost=74678.67, total_perf_penalty=921006.30, objective=995684.97
iteration=27, total_cost=74934.01, total_perf_penalty=921035.54, objective=995969.55
iteration=28, total_cost=74756.84, total_perf_penalty=920547.95, objective=995304.79
iteration=29, total_cost=74990.69, total_perf_penalty=920896.36, objective=995887.05
iteration=30, total_cost=74903.99, total_perf_penalty=920377.21, objective=995281.19
iteration=31, total_cost=75036.04, total_perf_penalty=921580.05, objective=996616.09
iteration=32, total_cost=75240.39, total_perf_penalty=918326.62, objective=993567.01
iteration=33, total_cost=75013.13, total_perf_penalty=922192.63, objective=997205.76
iteration=34, total_cost=75457.37, total_perf_penalty=917437.84, objective=992895.21
